date,BAYC_unscaled,BAYC_monthly,isPartial,scale,BAYC
2021-04-30,67,5.0,,0.05,3.35
2021-05-01,14,5.0,,0.05,0.7000000000000001
2021-05-02,0,4.0,False,0.04,0.0
2021-05-03,0,4.0,,0.04,0.0
2021-05-04,47,4.0,,0.04,1.8800000000000001
2021-05-05,12,4.0,,0.04,0.48
2021-05-06,73,4.0,,0.04,2.92
2021-05-07,63,4.0,,0.04,2.52
2021-05-08,27,4.0,,0.04,1.08
2021-05-09,28,3.0,False,0.03,0.84
2021-05-10,0,3.0,,0.03,0.0
2021-05-11,36,3.0,,0.03,1.08
2021-05-12,49,3.0,,0.03,1.47
2021-05-13,38,3.0,,0.03,1.14
2021-05-14,26,3.0,,0.03,0.78
2021-05-15,0,3.0,,0.03,0.0
2021-05-16,13,5.0,False,0.05,0.65
2021-05-17,98,5.0,,0.05,4.9
2021-05-18,36,5.0,,0.05,1.8
2021-05-19,95,5.0,,0.05,4.75
2021-05-20,25,5.0,,0.05,1.25
2021-05-21,13,5.0,,0.05,0.65
2021-05-22,14,5.0,,0.05,0.7000000000000001
2021-05-23,41,5.0,False,0.05,2.0500000000000003
2021-05-24,74,5.0,,0.05,3.7
2021-05-25,49,5.0,,0.05,2.45
2021-05-26,0,5.0,,0.05,0.0
2021-05-27,50,5.0,,0.05,2.5
2021-05-28,51,5.0,,0.05,2.5500000000000003
2021-05-29,28,5.0,,0.05,1.4000000000000001
2021-05-30,14,6.0,False,0.06,0.84
2021-05-31,100,6.0,,0.06,6.0
2021-06-01,51,6.0,,0.06,3.06
2021-06-02,30,6.0,,0.06,1.7999999999999998
2021-06-03,60,6.0,,0.06,3.5999999999999996
2021-06-04,42,6.0,,0.06,2.52
2021-06-05,23,6.0,,0.06,1.38
2021-06-06,11,4.0,False,0.04,0.44
2021-06-07,58,4.0,,0.04,2.32
2021-06-08,58,4.0,,0.04,2.32
2021-06-09,40,4.0,,0.04,1.6
2021-06-10,30,4.0,,0.04,1.2
2021-06-11,0,4.0,,0.04,0.0
2021-06-12,0,4.0,,0.04,0.0
2021-06-13,22,4.0,False,0.04,0.88
2021-06-14,20,4.0,,0.04,0.8
2021-06-15,39,4.0,,0.04,1.56
2021-06-16,50,4.0,,0.04,2.0
2021-06-17,20,4.0,,0.04,0.8
2021-06-18,41,4.0,,0.04,1.6400000000000001
2021-06-19,11,4.0,,0.04,0.44
2021-06-20,45,7.0,False,0.07,3.1500000000000004
2021-06-21,100,7.0,,0.07,7.000000000000001
2021-06-22,30,7.0,,0.07,2.1
2021-06-23,49,7.0,,0.07,3.43
2021-06-24,31,7.0,,0.07,2.1700000000000004
2021-06-25,31,7.0,,0.07,2.1700000000000004
2021-06-26,69,7.0,,0.07,4.83
2021-06-27,69,6.0,False,0.06,4.14
2021-06-28,60,6.0,,0.06,3.5999999999999996
2021-06-29,50,6.0,,0.06,3.0
2021-06-30,70,6.0,,0.06,4.2
2021-07-01,77,6.0,,0.06,4.62
2021-07-02,49,6.0,,0.06,2.94
2021-07-03,0,6.0,,0.06,0.0
2021-07-04,74,6.0,False,0.06,4.4399999999999995
2021-07-05,49,6.0,,0.06,2.94
2021-07-06,94,6.0,,0.06,5.64
2021-07-07,94,6.0,,0.06,5.64
2021-07-08,97,6.0,,0.06,5.819999999999999
2021-07-09,50,6.0,,0.06,3.0
2021-07-10,0,6.0,,0.06,0.0
2021-07-11,0,4.0,False,0.04,0.0
2021-07-12,64,4.0,,0.04,2.56
2021-07-13,80,4.0,,0.04,3.2
2021-07-14,47,4.0,,0.04,1.8800000000000001
2021-07-15,49,4.0,,0.04,1.96
2021-07-16,50,4.0,,0.04,2.0
2021-07-17,55,4.0,,0.04,2.2
2021-07-18,18,3.0,False,0.03,0.54
2021-07-19,66,3.0,,0.03,1.98
2021-07-20,100,3.0,,0.03,3.0
2021-07-21,33,3.0,,0.03,0.99
2021-07-22,36,3.0,,0.03,1.08
2021-07-23,20,3.0,,0.03,0.6
2021-07-24,18,3.0,,0.03,0.54
2021-07-25,37,5.0,False,0.05,1.85
2021-07-26,64,5.0,,0.05,3.2
2021-07-27,79,5.0,,0.05,3.95
2021-07-28,32,5.0,,0.05,1.6
2021-07-29,97,5.0,,0.05,4.8500000000000005
2021-07-30,50,5.0,,0.05,2.5
2021-07-31,72,5.0,,0.05,3.6
2021-08-01,15,8.0,False,0.08,1.2
2021-08-02,42,8.0,,0.08,3.36
2021-08-03,28,8.0,,0.08,2.24
2021-08-04,33,8.0,,0.08,2.64
2021-08-05,14,8.0,,0.08,1.12
2021-08-06,29,8.0,,0.08,2.32
2021-08-07,31,8.0,,0.08,2.48
2021-08-08,37,7.0,False,0.07,2.5900000000000003
2021-08-09,14,7.0,,0.07,0.9800000000000001
2021-08-10,19,7.0,,0.07,1.33
2021-08-11,28,7.0,,0.07,1.9600000000000002
2021-08-12,48,7.0,,0.07,3.3600000000000003
2021-08-13,14,7.0,,0.07,0.9800000000000001
2021-08-14,16,7.0,,0.07,1.12
2021-08-15,27,8.0,False,0.08,2.16
2021-08-16,37,8.0,,0.08,2.96
2021-08-17,23,8.0,,0.08,1.84
2021-08-18,19,8.0,,0.08,1.52
2021-08-19,37,8.0,,0.08,2.96
2021-08-20,14,8.0,,0.08,1.12
2021-08-21,41,8.0,,0.08,3.2800000000000002
2021-08-22,27,13.0,False,0.13,3.5100000000000002
2021-08-23,25,13.0,,0.13,3.25
2021-08-24,56,13.0,,0.13,7.28
2021-08-25,28,13.0,,0.13,3.64
2021-08-26,42,13.0,,0.13,5.46
2021-08-27,33,13.0,,0.13,4.29
2021-08-28,100,13.0,,0.13,13.0
2021-08-29,77,19.0,False,0.19,14.63
2021-08-30,56,19.0,,0.19,10.64
2021-08-31,57,19.0,,0.19,10.83
2021-09-01,57,19.0,,0.19,10.83
2021-09-02,66,19.0,,0.19,12.540000000000001
