total_tweet_count,search_term,collection
1300,rare apepe,rareapepeyachtclub
2058,bayc,boredapeyachtclub
228,webaverse genesis pass,webaverse-genesis-pass
30,proof moonbirds,proof-moonbirds
833,otherdeed,otherdeed
292,mutant ape yacht club,mutant-ape-yacht-club
58,the potatoz,thepotatoz
12997,nftiff,nftiff
39,lady ape club,ladyapeclub5668
27,crypto dick butts,cryptodickbutts-s3
474,bored ape kennel club,bored-ape-kennel-club
2955,clonex,clonex
34862,ens,ens
40,super cool world,super-cool-world
1,art blocks,art-blocks
1150,rakkudos,rakkudos
687,goblin town,goblintownwtf
5,ledger market pass genesis,ledger-market-pass-genesis-edition
269,8liens,8liens
102,boonmirds,boonmirds
17,mirage gallery,mirage-gallery-curated
4197,degods,degods
11121,women ape yacht club,women-ape-yacht-club
690,meebits,meebits
72,bibos,bibos
6214,azuki nft,azuki
891,vandal city nft,vandal-city
41,doodles official,doodles-official
5,goda mint pass,goda-mint-pass
51,proof of narnian,proof-of-narnian-nft-og
3,steady stack titans,steady-stack-titans-official
84,moonbirds oddities,moonbirds-oddities
168,crudeborne eggs,crudeborne-eggs
615,MV3,MV3
657,okay bears nft,okay-bears
533,digidagaku,digidaigaku
8003,decentraland,decentraland
22,care bears eth,care-bears-forever-eth
0,rags to richie nft,rags-to-richie-by-alec-monopoly
0,art blocks playground,art-blocks-playground
45,grails ii mint pass,grails-ii-mint-pass
7,bored and dangerous nft,bored-and-dangerous
23,my beautiful dark twisted fantasy nft,my-beautiful-dark-twisted-fantasy-by-beeble
24638,moodies by hanuka,moodiesbyhanuka
7,10ktf stockroom,10ktf-stockroom
106,mirandus,mirandus
994,lifes a joke nft,lifesajokenft
136,subway rats nft,subwayrats
7,chromie squiggle nft,chromie-squiggle-by-snowfro
5634,sandbox nft,sandbox
