collection,search_term,tweet_count_2022-08-09,retweet_count_2022-08-09,reply_count_2022-08-09,like_count_2022-08-09,quote_count_2022-08-09,sentiment_strong_pos_count_2022-08-09,sentiment_weak_pos_count_2022-08-09,sentiment_neutral_count_2022-08-09,sentiment_weak_neg_count_2022-08-09,sentiment_strong_neg_count_2022-08-09,tweet_count_2022-08-08,retweet_count_2022-08-08,reply_count_2022-08-08,like_count_2022-08-08,quote_count_2022-08-08,sentiment_strong_pos_count_2022-08-08,sentiment_weak_pos_count_2022-08-08,sentiment_neutral_count_2022-08-08,sentiment_weak_neg_count_2022-08-08,sentiment_strong_neg_count_2022-08-08,tweet_count_2022-08-07,retweet_count_2022-08-07,reply_count_2022-08-07,like_count_2022-08-07,quote_count_2022-08-07,sentiment_strong_pos_count_2022-08-07,sentiment_weak_pos_count_2022-08-07,sentiment_neutral_count_2022-08-07,sentiment_weak_neg_count_2022-08-07,sentiment_strong_neg_count_2022-08-07
goblintownwtf,goblin town,55.0,615.0,257.0,840.0,13.0,11.0,14.0,21.0,5.0,4.0,49.0,335.0,170.0,682.0,5.0,11.0,9.0,21.0,5.0,3.0,52.0,2282.0,1555.0,2750.0,50.0,19.0,10.0,13.0,7.0,3.0
clonex,clonex,409.0,1611.0,1807.0,4394.0,87.0,81.0,63.0,229.0,28.0,8.0,361.0,873.0,1566.0,4318.0,109.0,96.0,69.0,158.0,25.0,13.0,276.0,5911.0,6665.0,8354.0,73.0,60.0,56.0,139.0,12.0,9.0
subwayrats,subway rats,11.0,10.0,7.0,44.0,9.0,6.0,0.0,3.0,2.0,0.0,12.0,27.0,9.0,83.0,2.0,3.0,2.0,5.0,1.0,1.0,17.0,2.0,3.0,9.0,0.0,2.0,4.0,9.0,0.0,2.0
moonbirds-oddities,moonbirds oddities,63.0,22.0,30.0,189.0,4.0,18.0,16.0,25.0,2.0,2.0,32.0,6.0,8.0,56.0,2.0,10.0,5.0,15.0,0.0,2.0,65.0,27.0,20.0,187.0,1.0,30.0,9.0,22.0,3.0,1.0
women-ape-yacht-club,women ape yacht club,24.0,10162.0,170.0,10173.0,25.0,3.0,4.0,16.0,1.0,0.0,13.0,15421.0,222.0,15341.0,28.0,4.0,0.0,9.0,0.0,0.0,15.0,7634.0,242.0,7639.0,22.0,3.0,2.0,10.0,0.0,0.0
MV3,MV3,236.0,387.0,147.0,1325.0,62.0,24.0,12.0,193.0,5.0,2.0,1701.0,229.0,149.0,1759.0,43.0,128.0,245.0,1121.0,197.0,10.0,211.0,197.0,172.0,1314.0,18.0,27.0,17.0,152.0,7.0,8.0
boredapeyachtclub,bayc,4415.0,18251.0,6575.0,44692.0,4212.0,1056.0,659.0,2206.0,353.0,141.0,7593.0,10965.0,5785.0,32346.0,1135.0,4122.0,823.0,2205.0,285.0,158.0,5218.0,6298.0,5381.0,22848.0,877.0,1955.0,1350.0,1570.0,236.0,107.0
bored-and-dangerous,bored & dangerous,18.0,64.0,36.0,339.0,5.0,1.0,0.0,1.0,5.0,11.0,22.0,11.0,31.0,182.0,1.0,1.0,5.0,2.0,6.0,8.0,18.0,24.0,21.0,167.0,3.0,2.0,2.0,3.0,4.0,7.0
rags-to-richie-by-alec-monopoly,rags to richie,3.0,1.0,0.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,9.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,11.0,2.0,26.0,2.0,0.0,0.0,2.0,0.0,0.0
degods,degods,736.0,4229.0,2374.0,10499.0,146.0,227.0,142.0,258.0,76.0,33.0,960.0,1751.0,2065.0,12893.0,225.0,274.0,200.0,359.0,84.0,43.0,615.0,1465.0,1034.0,6273.0,74.0,163.0,126.0,246.0,48.0,32.0
